State,Year,Quarter,District,Registered_users
Arunachal Pradesh,2019,4,east siang,9859
Arunachal Pradesh,2019,4,changlang,9662
Arunachal Pradesh,2019,4,lohit,7386
Arunachal Pradesh,2019,4,tawang,7303
Arunachal Pradesh,2019,4,namsai,5190
Arunachal Pradesh,2019,4,west siang,4773
Arunachal Pradesh,2019,4,lower dibang valley,3944
Arunachal Pradesh,2019,4,tirap,3605
Arunachal Pradesh,2020,1,papum pare,51342
Arunachal Pradesh,2020,1,west kameng,13983
Arunachal Pradesh,2020,1,east siang,11298
Arunachal Pradesh,2020,1,changlang,11262
Arunachal Pradesh,2020,1,lohit,8454
Arunachal Pradesh,2020,1,tawang,8048
Arunachal Pradesh,2020,1,namsai,6029
Arunachal Pradesh,2020,1,west siang,5757
Arunachal Pradesh,2020,1,lower dibang valley,4650
Arunachal Pradesh,2020,1,lower subansiri,4351
Arunachal Pradesh,2020,2,papum pare,59968
Arunachal Pradesh,2020,2,west kameng,15766
Arunachal Pradesh,2020,2,changlang,14036
Arunachal Pradesh,2020,2,east siang,13601
Arunachal Pradesh,2020,2,lohit,10154
Arunachal Pradesh,2020,2,tawang,8993
Arunachal Pradesh,2020,2,namsai,7426
Arunachal Pradesh,2020,2,west siang,7239
Arunachal Pradesh,2020,2,lower dibang valley,5782
Arunachal Pradesh,2020,2,lower subansiri,5392
Arunachal Pradesh,2020,3,papum pare,69419
Arunachal Pradesh,2020,3,west kameng,17636
Arunachal Pradesh,2020,3,changlang,16385
Arunachal Pradesh,2020,3,east siang,15921
Arunachal Pradesh,2020,3,lohit,11755
Arunachal Pradesh,2020,3,tawang,9944
Arunachal Pradesh,2020,3,west siang,8623
Arunachal Pradesh,2020,3,namsai,8553
Arunachal Pradesh,2020,3,lower dibang valley,6799
Arunachal Pradesh,2020,3,lower subansiri,6456
Arunachal Pradesh,2020,4,papum pare,77936
Arunachal Pradesh,2020,4,west kameng,19464
Arunachal Pradesh,2020,4,changlang,18203
Arunachal Pradesh,2020,4,east siang,17822
Arunachal Pradesh,2020,4,lohit,13126
Arunachal Pradesh,2020,4,tawang,10909
Arunachal Pradesh,2020,4,west siang,9911
Arunachal Pradesh,2020,4,namsai,9437
Arunachal Pradesh,2020,4,lower dibang valley,7693
Arunachal Pradesh,2020,4,lower subansiri,7388
Arunachal Pradesh,2021,1,papum pare,84715
Arunachal Pradesh,2021,1,west kameng,21027
Arunachal Pradesh,2021,1,changlang,19716
Arunachal Pradesh,2021,1,east siang,19342
Arunachal Pradesh,2021,1,lohit,14231
Arunachal Pradesh,2021,1,tawang,11778
Arunachal Pradesh,2021,1,west siang,10836
Arunachal Pradesh,2021,1,namsai,10242
Arunachal Pradesh,2021,1,lower dibang valley,8402
Arunachal Pradesh,2021,1,lower subansiri,8044
Arunachal Pradesh,2021,2,papum pare,90871
Arunachal Pradesh,2021,2,west kameng,22625
Arunachal Pradesh,2021,2,changlang,21404
Arunachal Pradesh,2021,2,east siang,20817
Arunachal Pradesh,2021,2,lohit,15360
Arunachal Pradesh,2021,2,tawang,12636
Arunachal Pradesh,2021,2,west siang,11657
Arunachal Pradesh,2021,2,namsai,11111
Arunachal Pradesh,2021,2,lower dibang valley,9094
Arunachal Pradesh,2021,2,lower subansiri,8685
Arunachal Pradesh,2021,3,papum pare,97854
Arunachal Pradesh,2021,3,west kameng,24489
Arunachal Pradesh,2021,3,changlang,23328
Arunachal Pradesh,2021,3,east siang,22538
Arunachal Pradesh,2021,3,lohit,16680
Arunachal Pradesh,2021,3,tawang,13650
Arunachal Pradesh,2021,3,west siang,12616
Arunachal Pradesh,2021,3,namsai,12140
Arunachal Pradesh,2021,3,lower dibang valley,9920
Arunachal Pradesh,2021,3,lower subansiri,9451
Arunachal Pradesh,2021,4,papum pare,104806
Arunachal Pradesh,2021,4,west kameng,26237
Arunachal Pradesh,2021,4,changlang,25155
Arunachal Pradesh,2021,4,east siang,24208
Arunachal Pradesh,2021,4,lohit,17980
Arunachal Pradesh,2021,4,tawang,14665
Arunachal Pradesh,2021,4,west siang,13555
Arunachal Pradesh,2021,4,namsai,13092
Arunachal Pradesh,2021,4,lower dibang valley,10679
Arunachal Pradesh,2021,4,lower subansiri,10187
Arunachal Pradesh,2022,1,papum pare,111271
Arunachal Pradesh,2022,1,west kameng,27860
Arunachal Pradesh,2022,1,changlang,26904
Arunachal Pradesh,2022,1,east siang,25763
Arunachal Pradesh,2022,1,lohit,19214
Arunachal Pradesh,2022,1,tawang,15589
Arunachal Pradesh,2022,1,west siang,14420
Arunachal Pradesh,2022,1,namsai,14054
Arunachal Pradesh,2022,1,lower dibang valley,11401
Arunachal Pradesh,2022,1,lower subansiri,10854
Arunachal Pradesh,2022,2,papum pare,117568
Arunachal Pradesh,2022,2,west kameng,29424
Arunachal Pradesh,2022,2,changlang,28495
Arunachal Pradesh,2022,2,east siang,27240
Arunachal Pradesh,2022,2,lohit,20325
Arunachal Pradesh,2022,2,tawang,16475
Arunachal Pradesh,2022,2,west siang,15231
Arunachal Pradesh,2022,2,namsai,14887
Arunachal Pradesh,2022,2,lower dibang valley,12040
Arunachal Pradesh,2022,2,lower subansiri,11479
Arunachal Pradesh,2022,3,papum pare,124095
Arunachal Pradesh,2022,3,west kameng,30964
Arunachal Pradesh,2022,3,changlang,29965
Arunachal Pradesh,2022,3,east siang,28698
Arunachal Pradesh,2022,3,lohit,21385
Arunachal Pradesh,2022,3,tawang,17281
Arunachal Pradesh,2022,3,west siang,16063
Arunachal Pradesh,2022,3,namsai,15642
Arunachal Pradesh,2022,3,lower dibang valley,12668
Arunachal Pradesh,2022,3,lower subansiri,12085
Arunachal Pradesh,2022,4,papum pare,130306
Arunachal Pradesh,2022,4,west kameng,32237
Arunachal Pradesh,2022,4,changlang,31196
Arunachal Pradesh,2022,4,east siang,30033
Arunachal Pradesh,2022,4,lohit,22359
Arunachal Pradesh,2022,4,tawang,18003
Arunachal Pradesh,2022,4,west siang,16816
Arunachal Pradesh,2022,4,namsai,16322
Arunachal Pradesh,2022,4,lower dibang valley,13188
Arunachal Pradesh,2022,4,lower subansiri,12630
Arunachal Pradesh,2023,1,papum pare,136357
Arunachal Pradesh,2023,1,west kameng,33625
Arunachal Pradesh,2023,1,changlang,32646
Arunachal Pradesh,2023,1,east siang,31416
Arunachal Pradesh,2023,1,lohit,23429
Arunachal Pradesh,2023,1,tawang,18817
Arunachal Pradesh,2023,1,west siang,17590
Arunachal Pradesh,2023,1,namsai,17064
Arunachal Pradesh,2023,1,lower dibang valley,13811
Arunachal Pradesh,2023,1,lower subansiri,13220
Arunachal Pradesh,2023,2,papum pare,141879
Arunachal Pradesh,2023,2,west kameng,35075
Arunachal Pradesh,2023,2,changlang,34286
Arunachal Pradesh,2023,2,east siang,32826
Arunachal Pradesh,2023,2,lohit,24522
Arunachal Pradesh,2023,2,tawang,19674
Arunachal Pradesh,2023,2,west siang,18396
Arunachal Pradesh,2023,2,namsai,17877
Arunachal Pradesh,2023,2,lower dibang valley,14441
Arunachal Pradesh,2023,2,lower subansiri,13816
Arunachal Pradesh,2023,3,papum pare,147681
Arunachal Pradesh,2023,3,west kameng,36577
Arunachal Pradesh,2023,3,changlang,35843
Arunachal Pradesh,2023,3,east siang,34293
Arunachal Pradesh,2023,3,lohit,25647
Arunachal Pradesh,2023,3,tawang,20501
Arunachal Pradesh,2023,3,west siang,19174
Arunachal Pradesh,2023,3,namsai,18704
Arunachal Pradesh,2023,3,lower dibang valley,15073
Arunachal Pradesh,2023,3,lower subansiri,14442
Arunachal Pradesh,2023,4,papum pare,153071
